Model,Parameters,File Type,Balancing Method,Augmentation Factor,Accuracy,Precision,Recall,F1 Score,CPU Usage (%),RAM Usage (%),Precision_Class_0,Recall_Class_0,F1_Class_0,Precision_Class_1,Recall_Class_1,F1_Class_1,Precision_Class_2,Recall_Class_2,F1_Class_2,Precision_Class_3,Recall_Class_3,F1_Class_3,Precision_Class_4,Recall_Class_4,F1_Class_4,Precision_Class_5,Recall_Class_5,F1_Class_5,Precision_Class_6,Recall_Class_6,F1_Class_6,Precision_Class_7,Recall_Class_7,F1_Class_7,Precision_Class_8,Recall_Class_8,F1_Class_8,Precision_Class_9,Recall_Class_9,F1_Class_9,Precision_Class_10,Recall_Class_10,F1_Class_10,Precision_Class_11,Recall_Class_11,F1_Class_11,Precision_Class_12,Recall_Class_12,F1_Class_12,Precision_Class_13,Recall_Class_13,F1_Class_13,Precision_Class_14,Recall_Class_14,F1_Class_14,Precision_Class_15,Recall_Class_15,F1_Class_15,Precision_Class_macro avg,Recall_Class_macro avg,F1_Class_macro avg,Precision_Class_weighted avg,Recall_Class_weighted avg,F1_Class_weighted avg
rf,{'n_estimators': 100},frag,smote,4,1.0,1.0,1.0,1.0,1.6,43.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rf,{'n_estimators': 100},frag,smote,4,0.995079950799508,0.9953693654583604,0.995079950799508,0.9950519959745052,1.6,43.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882352,1.0,0.9696969696969696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92,0.9583333333333334,0.9963235294117648,0.995,0.995501893939394,0.9953693654583604,0.995079950799508,0.9950519959745052
rf,{'n_estimators': 100},frag,smote,4,1.0,1.0,1.0,1.0,8.0,45.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rf,{'n_estimators': 100},full,smote,4,1.0,1.0,1.0,1.0,8.3,45.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rf,{'n_estimators': 100},10_3,smote,4,1.0,1.0,1.0,1.0,9.4,46.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rf,{'n_estimators': 100},15_2,smote,4,1.0,1.0,1.0,1.0,7.7,46.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rf,{'n_estimators': 100},15_2,smote,4,1.0,1.0,1.0,1.0,9.6,46.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rf,{'n_estimators': 100},full,smote,4,1.0,1.0,1.0,1.0,5.6,47.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm,{'kernel': 'rbf'},full,smote,1,0.4166666666666667,0.3587306379052109,0.4166666666666667,0.3360561663630717,1.9,47.2,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.3333333333333333,0.1428571428571428,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1176470588235294,0.1739130434782608,0.6363636363636364,0.5185185185185185,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.1,0.1818181818181818,0.0,0.0,0.0,0.3548387096774194,0.8461538461538461,0.5,0.0,0.0,0.0,0.4285714285714285,0.5625,0.4864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.2613182516408323,0.2001308187092501,0.1921918034961513,0.3587306379052109,0.4166666666666667,0.3360561663630717
knn,{'n_neighbors': 5},full,smote,1,0.3627450980392157,0.3415193577831875,0.3627450980392157,0.3397122485357779,5.0,47.0,0.2777777777777778,0.7142857142857143,0.4,0.2,0.1428571428571428,0.1666666666666666,0.4583333333333333,0.9166666666666666,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.4827586206896552,0.5185185185185185,0.5,0.0,0.0,0.0,0.1428571428571428,0.2857142857142857,0.1904761904761904,,,,0.25,0.1,0.1428571428571428,0.0,0.0,0.0,0.5283018867924528,0.5384615384615384,0.5333333333333333,0.2,0.1428571428571428,0.1666666666666666,0.3478260869565217,0.25,0.2909090909090909,0.0,0.0,0.0,0.2222222222222222,0.1538461538461538,0.1818181818181818,0.2073384713752737,0.2508804775471442,0.2122558922558922,0.3415193577831875,0.3627450980392157,0.3397122485357779
rf,{'n_estimators': 100},full,smote,1,0.5441176470588235,0.4881442892472304,0.5441176470588235,0.4898681268166562,0.3,47.0,0.625,0.7142857142857143,0.6666666666666666,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.6,0.1764705882352941,0.2727272727272727,0.5945945945945946,0.8148148148148148,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5512820512820513,0.8269230769230769,0.6615384615384615,0.5,0.2142857142857142,0.3,0.4285714285714285,0.5625,0.4864864864864865,0.0,0.0,0.0,0.4285714285714285,0.2307692307692307,0.3,0.3382171732171732,0.325685815636796,0.3146771321771321,0.4881442892472304,0.5441176470588235,0.4898681268166562
lstm,"{'lstm_units': 64, 'epochs': 10, 'batch_size': 32}",full,smote,1,0.2696078431372549,0.1245227353276435,0.2696078431372549,0.1662679256099603,0.7,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3707865168539326,0.6346153846153846,0.4680851063829787,0.0,0.0,0.0,0.1913043478260869,0.6875,0.2993197278911564,0.0,0.0,0.0,0.0,0.0,0.0,0.0374727243120013,0.0881410256410256,0.0511603222849423,0.1245227353276435,0.2696078431372549,0.1662679256099603
rnn,"{'rnn_units': 64, 'epochs': 10, 'batch_size': 32}",full,smote,1,0.2745098039215686,0.2107499408021876,0.2745098039215686,0.1685633337949499,0.5,47.0,1.0,0.1428571428571428,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2781456953642384,0.8076923076923077,0.4137931034482758,1.0,0.0714285714285714,0.1333333333333333,0.2352941176470588,0.375,0.2891566265060241,0.0,0.0,0.0,0.0,0.0,0.0,0.1675626542007531,0.0931318681318681,0.0724188708858422,0.2107499408021876,0.2745098039215686,0.1685633337949499
cnn,"{'cnn_filters': 64, 'dense_units': 128, 'epochs': 10, 'batch_size': 32}",full,smote,1,0.5049019607843137,0.4847887030629246,0.5049019607843137,0.4610782224808673,8.9,47.1,0.7777777777777778,1.0,0.875,0.3333333333333333,0.1428571428571428,0.2,0.7058823529411765,1.0,0.8275862068965517,1.0,0.5,0.6666666666666666,0.5,0.1764705882352941,0.2608695652173913,0.5833333333333334,0.5185185185185185,0.5490196078431373,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.2,0.25,0.0,0.0,0.0,0.46875,0.8653846153846154,0.6081081081081081,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.5882352941176471,0.3125,0.4081632653061224,0.0,0.0,0.0,0.4,0.3076923076923077,0.3478260869565217,0.4015985838779956,0.3539424972268109,0.3533954543124538,0.4847887030629246,0.5049019607843137,0.4610782224808673
deep,"{'dense_units': 128, 'epochs': 10, 'batch_size': 32}",full,smote,1,0.4656862745098039,0.4140669261847584,0.4656862745098039,0.4172657794390587,0.7,47.9,0.6,0.8571428571428571,0.7058823529411765,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,0.5,0.1176470588235294,0.1904761904761904,0.52,0.4814814814814814,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.25,0.1,0.1428571428571428,0.0,0.0,0.0,0.4878048780487805,0.7692307692307693,0.5970149253731343,0.3333333333333333,0.3571428571428571,0.3448275862068966,0.4193548387096774,0.40625,0.4126984126984127,0.0,0.0,0.0,0.1111111111111111,0.0769230769230769,0.0909090909090909,0.2814402774135268,0.2967688257639237,0.2728238672769568,0.4140669261847584,0.4656862745098039,0.4172657794390587
svm,{'kernel': 'rbf'},full,smote,4,0.6113161131611317,0.7518736315947219,0.6113161131611317,0.6010959731168808,1.8,47.4,0.8461538461538461,1.0,0.9166666666666666,1.0,0.7307692307692307,0.8444444444444444,0.8048780487804879,0.9166666666666666,0.8571428571428571,1.0,0.4166666666666667,0.5882352941176471,0.7916666666666666,0.38,0.5135135135135135,0.8793103448275862,0.5,0.6375,0.0,0.0,0.0,1.0,0.2,0.3333333333333333,,,,1.0,0.4318181818181818,0.6031746031746031,0.0,0.0,0.0,0.4,1.0,0.5714285714285714,0.6666666666666666,0.24,0.3529411764705882,0.9285714285714286,0.5234899328859061,0.6695278969957081,0.0,0.0,0.0,0.9444444444444444,0.6181818181818182,0.7472527472527473,0.6841127630740752,0.4638394997992313,0.509010740302712,0.7518736315947219,0.6113161131611317,0.6010959731168808
cnn,"{'cnn_filters': 64, 'dense_units': 128, 'epochs': 10, 'batch_size': 32}",full,smote,1,0.4803921568627451,0.5033916200811474,0.4803921568627451,0.455804938438754,1.7,47.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2222222222222222,0.2857142857142857,0.25,0.631578947368421,1.0,0.7741935483870968,0.0,0.0,0.0,0.5,0.2352941176470588,0.32,0.6666666666666666,0.5185185185185185,0.5833333333333334,0.0,0.0,0.0,0.5,0.1428571428571428,0.2222222222222222,,,,0.6666666666666666,0.2,0.3076923076923077,0.0,0.0,0.0,0.4810126582278481,0.7307692307692307,0.5801526717557252,0.3076923076923077,0.2857142857142857,0.2962962962962963,0.6,0.28125,0.3829787234042553,0.0,0.0,0.0,0.2592592592592592,0.5384615384615384,0.35,0.3699589628259404,0.3288576555978517,0.3187436544917967,0.5033916200811474,0.4803921568627451,0.455804938438754
cnn,"{'cnn_filters': 64, 'dense_units': 128, 'epochs': 10, 'batch_size': 32}",full,smote,4,0.904059040590406,0.9123338974834284,0.904059040590406,0.9045637035021008,2.2,47.6,1.0,1.0,1.0,1.0,0.9696969696969696,0.9846153846153848,1.0,1.0,1.0,1.0,0.8,0.8888888888888888,0.9574468085106383,0.8333333333333334,0.8910891089108911,1.0,0.8735632183908046,0.9325153374233128,1.0,0.8888888888888888,0.9411764705882352,0.9615384615384616,0.8064516129032258,0.8771929824561403,0.0,0.0,0.0,0.9310344827586208,0.8181818181818182,0.8709677419354839,1.0,0.9090909090909092,0.9523809523809524,0.825531914893617,0.9748743718592964,0.8940092165898618,0.918032786885246,0.8,0.8549618320610687,0.8226950354609929,0.8923076923076924,0.8560885608856088,0.0,0.0,0.0,1.0,0.890625,0.9421487603305784,0.8385174681279735,0.7785633634158087,0.8053772023166504,0.9123338974834284,0.904059040590406,0.9045637035021008
rf,{'n_estimators': 100},full,smote,4,1.0,1.0,1.0,1.0,2.5,47.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
knn,{'n_neighbors': 5},full,smote,4,0.7429274292742928,0.7531814480616307,0.7429274292742928,0.7422043366260977,82.3,31.2,0.6078431372549019,0.8157894736842105,0.6966292134831461,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7547169811320755,1.0,0.8602150537634409,1.0,0.3333333333333333,0.5,0.6229508196721312,0.6666666666666666,0.6440677966101694,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.5,0.6,0.5454545454545454,0.7241379310344828,0.6363636363636364,0.6774193548387096,0.3333333333333333,1.0,0.5,0.7391304347826086,0.5862068965517241,0.6538461538461539,1.0,0.7777777777777778,0.875,0.8594594594594595,0.7910447761194029,0.8238341968911918,0.691358024691358,0.7671232876712328,0.7272727272727273,0.7459016393442623,0.6546762589928058,0.6973180076628352,0.6,0.4285714285714285,0.5,0.6567164179104478,0.7857142857142857,0.7154471544715447,0.7126947341364143,0.7131772118133795,0.686504485741377,0.7531814480616307,0.7429274292742928,0.7422043366260977
knn,{'n_neighbors': 5},full,smote,5,0.875,0.8830675993282597,0.875,0.8756911198586927,10.2,42.9,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,0.918918918918919,0.9577464788732394,0.7777777777777778,0.9491525423728814,0.8549618320610687,1.0,1.0,1.0,0.8611111111111112,0.7126436781609196,0.779874213836478,0.8615384615384616,0.9739130434782608,0.9142857142857144,0.5,1.0,0.6666666666666666,0.9302325581395348,0.8695652173913043,0.898876404494382,0.25,1.0,0.4,0.9166666666666666,0.8461538461538461,0.88,1.0,0.625,0.7692307692307693,0.9224137931034484,0.8663967611336032,0.8935281837160751,0.8433734939759037,0.9090909090909092,0.875,0.8607594936708861,0.8242424242424242,0.8421052631578947,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.925925925925926,0.9615384615384616,0.9433962264150944,0.8211184075003096,0.871544440036048,0.8227354369270388,0.8830675993282597,0.875,0.8756911198586927
cnn,"{'cnn_filters': 64, 'dense_units': 128, 'epochs': 10, 'batch_size': 32}",full,smote,5,0.9104330708661418,0.9254310632552036,0.9104330708661418,0.9110257401058128,8.5,47.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.7692307692307693,0.9836065573770492,0.8571428571428571,0.916030534351145,1.0,0.92,0.9583333333333334,1.0,0.7777777777777778,0.875,0.9111111111111112,0.8723404255319149,0.8913043478260869,0.0,0.0,0.0,1.0,0.8055555555555556,0.8923076923076924,1.0,0.875,0.9333333333333332,0.7588424437299035,1.0,0.8628884826325411,0.9456521739130436,0.8969072164948454,0.9206349206349206,0.9568345323741008,0.7916666666666666,0.8664495114006515,1.0,0.6,0.75,1.0,0.9230769230769232,0.96,0.9097529261565755,0.8090292138904087,0.8497195578156547,0.9254310632552036,0.9104330708661418,0.9110257401058128
rf,{'n_estimators': 100},full,smote,5,1.0,1.0,1.0,1.0,2.5,46.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rf,{'n_estimators': 100},full,smote,4,1.0,1.0,1.0,1.0,2.5,46.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
